"","Coef","Group","Type","Parallel"
"CK.leaf.1","4.77790079664005","CK","leaf","1"
"N1.leaf.1","-0.87449257881884","N1","leaf","1"
"N2.leaf.1","21.485465449186","N2","leaf","1"
"NP1.leaf.1","-0.71358279851473","NP1","leaf","1"
"NP2.leaf.1","-3.1227341285405","NP2","leaf","1"
"P1.leaf.1","6.10064587567028","P1","leaf","1"
"P2.leaf.1","-3.92089139875853","P2","leaf","1"
"CK.stem.1","-0.222126295021767","CK","stem","1"
"N1.stem.1","-10.665077884826","N1","stem","1"
"N2.stem.1","-11.955994700998","N2","stem","1"
"NP1.stem.1","-9.21526197938834","NP1","stem","1"
"NP2.stem.1","-9.71303504922544","NP2","stem","1"
"P1.stem.1","7.36925003460161","P1","stem","1"
"P2.stem.1","-1.31946752218467","P2","stem","1"
"CK.leaf.2","2.09909750477637","CK","leaf","2"
"N1.leaf.2","1.65362287104327","N1","leaf","2"
"N2.leaf.2","-20.9624288637905","N2","leaf","2"
"NP1.leaf.2","-3.92695707872346","NP1","leaf","2"
"NP2.leaf.2","3.56337744725233","NP2","leaf","2"
"P1.leaf.2","4.1157375968323","P1","leaf","2"
"P2.leaf.2","8.08865995017496","P2","leaf","2"
"CK.stem.2","-22.5490300693631","CK","stem","2"
"N1.stem.2","0.973322215669502","N1","stem","2"
"N2.stem.2","-2.32031086953193","N2","stem","2"
"NP1.stem.2","-5.20393712159589","NP1","stem","2"
"NP2.stem.2","-6.53534967819825","NP2","stem","2"
"P1.stem.2","-4.1695751413216","P1","stem","2"
"P2.stem.2","16.4703422340263","P2","stem","2"
"CK.leaf.3","8.91494373881275","CK","leaf","3"
"N1.leaf.3","-1.08435524152378","N1","leaf","3"
"N2.leaf.3","5.4614190373293","N2","leaf","3"
"NP1.leaf.3","5.65623357083199","NP1","leaf","3"
"NP2.leaf.3","-1.36438758356667","NP2","leaf","3"
"P1.leaf.3","0.904583788812419","P1","leaf","3"
"P2.leaf.3","7.12690231799564","P2","leaf","3"
"CK.stem.3","-1.40229264553567","CK","stem","3"
"N1.stem.3","7.65664300273272","N1","stem","3"
"N2.stem.3","-2.55188987121658","N2","stem","3"
"NP1.stem.3","-7.0479594940658","NP1","stem","3"
"NP2.stem.3","-8.57567706888004","NP2","stem","3"
"P1.stem.3","-0.532154158497977","P1","stem","3"
"P2.stem.3","1.80644936646484","P2","stem","3"
