"","k","Group","Type","mass","Temperature","CO2_evolution"
"1",44.0285875,"CK","leaf",4.8,18,8.45186571773283
"2",41.964475,"N1","leaf",4.725,18,8.18349938769085
"3",25.3206626126126,"N2","leaf",4.8,18,4.86063379357377
"4",36.23876,"NP1","leaf",4.825,18,6.92046193157052
"5",44.8546075,"NP2","leaf",4.65,18,8.88818694926305
"6",30.01024,"P1","leaf",4.825,18,5.73101075967541
"7",42.8516240384615,"P2","leaf",4.525,18,8.72585064772288
"8",33.2112352697095,"CK","stem",3.72,18,8.2262359528265
"9",24.3577129518072,"N1","stem",3.78,18,5.93750216780573
"10",20.1534617647059,"N2","stem",3.7,18,5.01888222606496
"11",19.0627574418605,"NP1","stem",3.78,18,4.64678945266099
"12",18.364132,"NP2","stem",3.78,18,4.47649062026494
"13",24.600412,"P1","stem",3.8,18,5.96510176101963
"14",19.202563,"P2","stem",3.78,18,4.68086883466894
